"condition","pathway","total_prob"
"normal","MHC-I",0.129268129832002
"normal","CLEC",0.0403649715945318
"normal","MIF",0.0212630146074196
"normal","CD99",0.0165094105657933
"normal","CypA",0.00840295826186302
"normal","APP",0.00718969760059232
"normal","COLLAGEN",0.00139337127336102
"normal","LCK",0.00135009636177503
"normal","MK",0.00124523362090874
"normal","SELE",0.0010705476178571
"normal","ANNEXIN",0.000379799739163419
"normal","CXCL",0.000149560899413668
"normal","THBS",0.000145142943003557
"normal","ESAM",0.000135178578297077
"normal","PTN",9.09574014082254e-05
"normal","JAM",6.91200229480122e-05
"normal","FN1",5.98916400433145e-05
"normal","CALCR",3.84378659290561e-05
"normal","GDF",3.62716888738633e-05
"normal","GAP",3.39177496770127e-05
"normal","OSM",2.23742211145744e-05
"normal","CLDN",1.76378978672054e-05
"normal","CD86",1.03957219348156e-05
"normal","LAIR1",8.98495775207322e-07
"normal","FGF",1.47076853831435e-07
"adjacent_LG","MHC-I",0.355156553358692
"adjacent_LG","CLEC",0.0588643475454684
"adjacent_LG","CD99",0.0244144783843049
"adjacent_LG","MIF",0.0232959197086919
"adjacent_LG","LCK",0.00496381998224656
"adjacent_LG","CypA",0.00344796913257631
"adjacent_LG","COLLAGEN",0.0032652066703451
"adjacent_LG","Prostaglandin",0.00247661826360984
"adjacent_LG","APP",0.00230294884907464
"adjacent_LG","MK",0.00068217338869825
"adjacent_LG","GALECTIN",0.000332545911890708
"adjacent_LG","TNF",0.000309757672551412
"adjacent_LG","ANNEXIN",0.000256744187232155
"adjacent_LG","PTN",0.000239936905878773
"adjacent_LG","SELE",0.000213721656985939
"adjacent_LG","CXCL",0.000174430178348622
"adjacent_LG","FN1",0.000127623679708414
"adjacent_LG","THBS",0.00010002213604164
"adjacent_LG","VEGF",3.99214396333748e-05
"adjacent_LG","ESAM",2.22119594119675e-05
"adjacent_LG","NOTCH",2.00040707491576e-05
"adjacent_LG","CALCR",1.90107663142824e-05
"adjacent_LG","CD160",1.45275779484954e-05
"adjacent_LG","GAP",1.42318141516034e-05
"adjacent_LG","OSM",8.63236318377322e-06
"adjacent_LG","CCL",7.59616639753504e-06
"adjacent_LG","CD86",7.50026528702521e-06
"adjacent_LG","JAM",5.25957242219394e-06
"adjacent_LG","CD46",4.04487535261636e-06
"adjacent_LG","COMPLEMENT",2.13315846254516e-06
"adjacent_LG","FLRT",8.89788414496301e-07
"adjacent_LG","SELPLG",4.14411114445746e-07
"adjacent_LG","LAIR1",3.4695087779463e-07
"adjacent_LG","RA",2.7891680746585e-07
"adjacent_LG","FGF",1.46782820166617e-07
"adjacent_HG","MHC-I",0.289697140254945
"adjacent_HG","CLEC",0.0850116746612446
"adjacent_HG","CD99",0.0317275713337667
"adjacent_HG","MIF",0.0216293978982249
"adjacent_HG","COLLAGEN",0.00812207576977851
"adjacent_HG","CypA",0.00792883333962822
"adjacent_HG","APP",0.00652054294966049
"adjacent_HG","Prostaglandin",0.00535321016221506
"adjacent_HG","LCK",0.00313191851034903
"adjacent_HG","MK",0.00238270557659223
"adjacent_HG","CXCL",0.0016218848103241
"adjacent_HG","GALECTIN",0.00149494186220451
"adjacent_HG","MHC-II",0.00139869984044614
"adjacent_HG","PTN",0.000901144146229816
"adjacent_HG","ANNEXIN",0.000798427370737346
"adjacent_HG","SELE",0.000735655012229713
"adjacent_HG","CCL",0.000517030286739626
"adjacent_HG","THBS",0.00040905975701013
"adjacent_HG","ESAM",0.000323912507199963
"adjacent_HG","FN1",0.000213120884278645
"adjacent_HG","LAMININ",0.000196348784207125
"adjacent_HG","CD40",0.000144847129262132
"adjacent_HG","VISFATIN",0.000118683402162692
"adjacent_HG","IFN-II",0.00011677504533128
"adjacent_HG","TNF",0.000111867454288422
"adjacent_HG","VEGF",8.92873648936897e-05
"adjacent_HG","SELL",8.43032123029105e-05
"adjacent_HG","PLAU",6.34963393375061e-05
"adjacent_HG","ApoE",5.42748881453279e-05
"adjacent_HG","GAP",3.4377196930888e-05
"adjacent_HG","NOTCH",3.21115464215393e-05
"adjacent_HG","CALCR",3.06027673183512e-05
"adjacent_HG","CSF",2.88129920640895e-05
"adjacent_HG","JAM",2.61992312968455e-05
"adjacent_HG","GDF",2.1412443484685e-05
"adjacent_HG","CD160",2.08765202562603e-05
"adjacent_HG","CD86",2.06030234459406e-05
"adjacent_HG","CD34",1.90179737638565e-05
"adjacent_HG","CD46",1.6158927754356e-05
"adjacent_HG","OSM",1.49174258158207e-05
"adjacent_HG","CDH5",1.43797783814768e-05
"adjacent_HG","LAIR1",1.28368784771531e-05
"adjacent_HG","CLDN",1.10389922439721e-05
"adjacent_HG","COMPLEMENT",7.96439868202984e-06
"adjacent_HG","EPHA",6.20342036779126e-06
"adjacent_HG","CDH1",4.12522912691587e-06
"adjacent_HG","RA",3.31093033511276e-06
"adjacent_HG","FLRT",3.24211831698032e-06
"adjacent_HG","IL16",2.95890820029916e-06
"adjacent_HG","CDH",2.09881923096044e-06
"adjacent_HG","BAFF",1.43632268403786e-06
"adjacent_HG","FGF",1.33245917687588e-06
"tumor_LG","MHC-I",0.270552024255433
"tumor_LG","CLEC",0.0428187561084705
"tumor_LG","MIF",0.0258922879348501
"tumor_LG","CD99",0.0257175391008105
"tumor_LG","APP",0.012656906383581
"tumor_LG","CypA",0.012447023366902
"tumor_LG","COLLAGEN",0.00752882425133619
"tumor_LG","Prostaglandin",0.0056229954184909
"tumor_LG","MK",0.00540057133664165
"tumor_LG","MHC-II",0.00346242744489088
"tumor_LG","LCK",0.00279642193502016
"tumor_LG","GALECTIN",0.00217787780026683
"tumor_LG","PTN",0.00128784835191215
"tumor_LG","TNF",0.000897354925127085
"tumor_LG","THBS",0.000852249032073616
"tumor_LG","CXCL",0.000793073882633076
"tumor_LG","SELE",0.000773442769451169
"tumor_LG","ESAM",0.000495403158298162
"tumor_LG","ANNEXIN",0.000458026919729705
"tumor_LG","CLDN",0.000378050433855802
"tumor_LG","Cholesterol",0.000317429029836822
"tumor_LG","IFN-II",0.000310886959723279
"tumor_LG","VISFATIN",0.000307774943147072
"tumor_LG","JAM",0.000227995814139754
"tumor_LG","VEGF",0.000207055574529849
"tumor_LG","GDF",0.000197042816591758
"tumor_LG","FN1",0.000162727041991102
"tumor_LG","CALCR",0.000134259841655213
"tumor_LG","GAP",0.000102551396705691
"tumor_LG","CD40",9.59803651352473e-05
"tumor_LG","NOTCH",8.14501999094031e-05
"tumor_LG","CD46",7.95292672378745e-05
"tumor_LG","ICAM",7.40745404107051e-05
"tumor_LG","COMPLEMENT",6.02938584496315e-05
"tumor_LG","OSM",4.04203866275167e-05
"tumor_LG","CD39",3.94118494712436e-05
"tumor_LG","CD160",3.71451174988233e-05
"tumor_LG","CD34",3.34539042937717e-05
"tumor_LG","PDGF",3.00476356286178e-05
"tumor_LG","ANGPT",2.82378132828473e-05
"tumor_LG","LAIR1",2.79873698160202e-05
"tumor_LG","SELL",2.49352347071404e-05
"tumor_LG","CCL",2.24477934675697e-05
"tumor_LG","Testosterone",2.0872657308128e-05
"tumor_LG","CD86",1.70601086331197e-05
"tumor_LG","CDH5",1.62712110980799e-05
"tumor_LG","Netrin",1.07021592056946e-05
"tumor_LG","CDH",1.04345087888856e-05
"tumor_LG","RA",9.34048707709634e-06
"tumor_LG","FLRT",6.51473553107068e-06
"tumor_LG","SELPLG",1.51846852089217e-06
"tumor_LG","FGF",8.29483999542168e-07
"tumor_HG","MHC-I",0.202880168049199
"tumor_HG","CLEC",0.053584291531542
"tumor_HG","MIF",0.0360514192555269
"tumor_HG","CD99",0.0295524422169246
"tumor_HG","COLLAGEN",0.00909768095595921
"tumor_HG","CypA",0.00823857497579177
"tumor_HG","Prostaglandin",0.00764547129679747
"tumor_HG","APP",0.00732032613096442
"tumor_HG","MHC-II",0.00294330064745655
"tumor_HG","MK",0.00276765014972574
"tumor_HG","GALECTIN",0.00238894574035148
"tumor_HG","LCK",0.00202319052927397
"tumor_HG","PTN",0.00142053524877108
"tumor_HG","CXCL",0.000549218142997628
"tumor_HG","SELE",0.000540267511019886
"tumor_HG","ANNEXIN",0.000319465580991167
"tumor_HG","Cholesterol",0.000263975865913231
"tumor_HG","ESAM",0.000253729734993057
"tumor_HG","SELL",0.000204764674509161
"tumor_HG","FN1",0.000198482904459884
"tumor_HG","LAMININ",0.000127929057489912
"tumor_HG","THBS",0.000102609643927367
"tumor_HG","VEGF",8.04549331101724e-05
"tumor_HG","ApoE",6.66123234092699e-05
"tumor_HG","CD40",6.21991442239946e-05
"tumor_HG","CLDN",5.33544089742527e-05
"tumor_HG","CSF",4.9835031188299e-05
"tumor_HG","CD86",3.07582985541619e-05
"tumor_HG","GDF",2.64471485290496e-05
"tumor_HG","CD160",2.5212669673288e-05
"tumor_HG","NOTCH",2.42089455215833e-05
"tumor_HG","COMPLEMENT",2.40722287440329e-05
"tumor_HG","LAIR1",2.33269198969224e-05
"tumor_HG","CALCR",1.96573500023309e-05
"tumor_HG","GAP",1.79477461589037e-05
"tumor_HG","JAM",1.53127950107321e-05
"tumor_HG","CD34",1.24340272539201e-05
"tumor_HG","CD46",1.04832730903709e-05
"tumor_HG","SELPLG",8.39254632593989e-06
"tumor_HG","EPHA",7.68075148896762e-06
"tumor_HG","OSM",7.48901396287698e-06
"tumor_HG","CDH5",7.22687039885305e-06
"tumor_HG","RA",6.20790372443855e-06
"tumor_HG","CDH",2.24809668534324e-06
"tumor_HG","FLRT",1.26537434883947e-06
"tumor_HG","BAFF",5.11438504959136e-07
